dates,machines,coffee,soda,nrj,day,date
2019-11-14 15:22:02+00:00,C,271,118,59,Thursday,2019-11-14
2019-11-14 15:32:10+00:00,C,270,118,59,Thursday,2019-11-14
2019-11-14 15:32:24+00:00,A,263,113,60,Thursday,2019-11-14
2019-11-14 15:33:16+00:00,A,262,113,60,Thursday,2019-11-14
2019-11-14 15:34:59+00:00,B,269,117,60,Thursday,2019-11-14
2019-11-14 15:35:29+00:00,B,268,117,60,Thursday,2019-11-14
2019-11-14 15:35:49+00:00,C,270,117,59,Thursday,2019-11-14
2019-11-14 15:39:46+00:00,A,262,113,59,Thursday,2019-11-14
2019-11-14 15:41:54+00:00,B,267,117,60,Thursday,2019-11-14
2019-11-14 15:43:43+00:00,C,269,117,59,Thursday,2019-11-14
2019-11-14 15:45:38+00:00,C,268,117,59,Thursday,2019-11-14
2019-11-14 15:54:55+00:00,A,261,113,59,Thursday,2019-11-14
2019-11-14 15:56:22+00:00,C,267,117,59,Thursday,2019-11-14
2019-11-14 15:59:54+00:00,D,278,119,60,Thursday,2019-11-14
2019-11-14 16:00:33+00:00,A,260,113,59,Thursday,2019-11-14
2019-11-14 16:00:39+00:00,D,278,118,60,Thursday,2019-11-14
2019-11-14 16:02:19+00:00,D,277,118,60,Thursday,2019-11-14
2019-11-14 16:02:22+00:00,C,267,116,59,Thursday,2019-11-14
2019-11-14 16:03:59+00:00,D,276,118,60,Thursday,2019-11-14
2019-11-14 16:08:17+00:00,A,259,113,59,Thursday,2019-11-14
2019-11-14 16:09:38+00:00,C,266,116,59,Thursday,2019-11-14
2019-11-14 16:11:19+00:00,C,265,116,59,Thursday,2019-11-14
2019-11-14 16:12:24+00:00,D,276,118,59,Thursday,2019-11-14
2019-11-14 16:17:14+00:00,D,276,117,59,Thursday,2019-11-14
2019-11-14 16:18:07+00:00,A,258,113,59,Thursday,2019-11-14
2019-11-14 16:23:06+00:00,B,266,117,60,Thursday,2019-11-14
2019-11-14 16:25:03+00:00,C,264,116,59,Thursday,2019-11-14
2019-11-14 16:36:53+00:00,D,275,117,59,Thursday,2019-11-14
2019-11-14 16:39:35+00:00,C,264,115,59,Thursday,2019-11-14
2019-11-14 16:41:07+00:00,B,266,116,60,Thursday,2019-11-14
2019-11-14 16:43:28+00:00,D,274,117,59,Thursday,2019-11-14
2019-11-14 16:55:43+00:00,A,258,112,59,Thursday,2019-11-14
2019-11-14 16:57:09+00:00,C,264,114,59,Thursday,2019-11-14
2019-11-14 17:01:56+00:00,C,264,113,59,Thursday,2019-11-14
2019-11-14 17:02:35+00:00,C,264,113,58,Thursday,2019-11-14
2019-11-14 17:03:04+00:00,A,258,112,58,Thursday,2019-11-14
2019-11-14 17:06:40+00:00,C,264,113,57,Thursday,2019-11-14
2019-11-14 17:12:08+00:00,C,264,112,57,Thursday,2019-11-14
2019-11-14 17:12:44+00:00,D,274,117,58,Thursday,2019-11-14
2019-11-14 17:13:03+00:00,D,274,116,58,Thursday,2019-11-14
2019-11-14 17:19:38+00:00,D,273,116,58,Thursday,2019-11-14
2019-11-14 17:21:02+00:00,D,272,116,58,Thursday,2019-11-14
2019-11-14 17:22:09+00:00,C,263,112,57,Thursday,2019-11-14
2019-11-14 17:24:35+00:00,A,258,112,57,Thursday,2019-11-14
2019-11-14 17:32:14+00:00,C,263,112,56,Thursday,2019-11-14
2019-11-14 17:34:16+00:00,C,263,111,56,Thursday,2019-11-14
2019-11-14 17:35:20+00:00,D,272,115,58,Thursday,2019-11-14
2019-11-14 17:40:37+00:00,C,263,110,56,Thursday,2019-11-14
2019-11-14 17:42:37+00:00,B,266,116,59,Thursday,2019-11-14
2019-11-14 17:45:42+00:00,D,271,115,58,Thursday,2019-11-14
2019-11-14 17:46:00+00:00,B,266,115,59,Thursday,2019-11-14
2019-11-14 17:58:02+00:00,A,258,111,57,Thursday,2019-11-14
2019-11-14 18:01:35+00:00,A,258,110,57,Thursday,2019-11-14
2019-11-14 18:02:44+00:00,D,271,114,58,Thursday,2019-11-14
2019-11-14 18:04:54+00:00,D,270,114,58,Thursday,2019-11-14
2019-11-14 18:11:58+00:00,B,266,114,59,Thursday,2019-11-14
2019-11-14 18:12:56+00:00,D,270,113,58,Thursday,2019-11-14
2019-11-14 18:15:04+00:00,D,270,112,58,Thursday,2019-11-14
2019-11-14 18:16:12+00:00,B,266,113,59,Thursday,2019-11-14
2019-11-14 18:16:43+00:00,C,263,110,55,Thursday,2019-11-14
2019-11-14 18:22:46+00:00,B,266,112,59,Thursday,2019-11-14
2019-11-14 18:25:19+00:00,D,269,112,58,Thursday,2019-11-14
2019-11-14 18:29:18+00:00,B,266,112,58,Thursday,2019-11-14
2019-11-14 18:34:48+00:00,C,262,110,55,Thursday,2019-11-14
2019-11-14 18:38:40+00:00,A,258,109,57,Thursday,2019-11-14
2019-11-14 18:41:23+00:00,C,261,110,55,Thursday,2019-11-14
2019-11-14 18:44:13+00:00,B,266,112,57,Thursday,2019-11-14
2019-11-14 18:48:01+00:00,A,258,108,57,Thursday,2019-11-14
2019-11-14 18:58:16+00:00,C,261,109,55,Thursday,2019-11-14
2019-11-14 18:59:30+00:00,C,261,109,54,Thursday,2019-11-14
2019-11-14 19:02:43+00:00,D,268,112,58,Thursday,2019-11-14
2019-11-14 19:04:03+00:00,D,268,111,58,Thursday,2019-11-14
2019-11-14 19:04:03+00:00,D,268,110,58,Thursday,2019-11-14
2019-11-14 19:04:52+00:00,A,258,107,57,Thursday,2019-11-14
2019-11-14 19:28:20+00:00,B,266,112,56,Thursday,2019-11-14
2019-11-14 19:30:22+00:00,D,268,110,57,Thursday,2019-11-14
2019-11-14 19:31:46+00:00,D,268,109,57,Thursday,2019-11-14
2019-11-14 19:36:38+00:00,D,268,108,57,Thursday,2019-11-14
2019-11-14 20:00:08+00:00,C,261,108,54,Thursday,2019-11-14
2019-11-14 20:06:26+00:00,C,261,108,53,Thursday,2019-11-14
2019-11-14 20:12:53+00:00,B,266,112,55,Thursday,2019-11-14
2019-11-14 20:14:07+00:00,A,258,106,57,Thursday,2019-11-14
2019-11-14 20:15:06+00:00,B,266,111,55,Thursday,2019-11-14
2019-11-14 20:29:59+00:00,A,258,105,57,Thursday,2019-11-14
2019-11-14 20:31:25+00:00,C,261,107,53,Thursday,2019-11-14
2019-11-14 20:37:43+00:00,C,261,106,53,Thursday,2019-11-14
2019-11-14 20:46:18+00:00,C,261,106,52,Thursday,2019-11-14
2019-11-14 21:04:28+00:00,C,261,105,52,Thursday,2019-11-14
2019-11-14 21:05:16+00:00,B,266,111,54,Thursday,2019-11-14
2019-11-14 21:07:11+00:00,A,258,104,57,Thursday,2019-11-14
2019-11-14 21:07:51+00:00,D,268,107,57,Thursday,2019-11-14
2019-11-14 21:15:24+00:00,B,265,111,54,Thursday,2019-11-14
2019-11-14 21:20:54+00:00,D,268,106,57,Thursday,2019-11-14
2019-11-14 21:27:53+00:00,A,258,103,57,Thursday,2019-11-14
2019-11-14 21:30:08+00:00,C,260,105,52,Thursday,2019-11-14
2019-11-14 21:37:27+00:00,B,265,110,54,Thursday,2019-11-14
2019-11-14 21:47:31+00:00,B,265,109,54,Thursday,2019-11-14
2019-11-14 21:49:36+00:00,A,258,103,56,Thursday,2019-11-14
2019-11-14 21:53:01+00:00,D,268,105,57,Thursday,2019-11-14
2019-11-14 22:17:39+00:00,C,260,104,52,Thursday,2019-11-14
2019-11-14 22:26:40+00:00,C,260,103,52,Thursday,2019-11-14
2019-11-14 22:36:07+00:00,C,260,102,52,Thursday,2019-11-14
2019-11-14 22:43:45+00:00,D,268,104,57,Thursday,2019-11-14
2019-11-14 22:46:20+00:00,B,265,109,53,Thursday,2019-11-14
2019-11-14 22:46:29+00:00,B,265,108,53,Thursday,2019-11-14
2019-11-14 22:55:42+00:00,A,258,102,56,Thursday,2019-11-14
2019-11-14 23:07:40+00:00,A,258,101,56,Thursday,2019-11-14
2019-11-14 23:20:14+00:00,A,258,100,56,Thursday,2019-11-14
2019-11-15 00:06:21+00:00,D,267,104,57,Friday,2019-11-15
2019-11-15 00:11:51+00:00,C,260,101,52,Friday,2019-11-15
2019-11-15 00:14:34+00:00,A,257,100,56,Friday,2019-11-15
2019-11-15 00:23:36+00:00,D,266,104,57,Friday,2019-11-15
2019-11-15 00:31:03+00:00,C,260,101,51,Friday,2019-11-15
2019-11-15 00:32:34+00:00,C,260,100,51,Friday,2019-11-15
2019-11-15 00:35:55+00:00,C,259,100,51,Friday,2019-11-15
2019-11-15 00:37:19+00:00,D,266,104,56,Friday,2019-11-15
2019-11-15 00:59:30+00:00,A,257,100,55,Friday,2019-11-15
2019-11-15 01:04:57+00:00,D,265,104,56,Friday,2019-11-15
2019-11-15 01:04:58+00:00,A,257,100,54,Friday,2019-11-15
2019-11-15 01:05:36+00:00,C,258,100,51,Friday,2019-11-15
2019-11-15 01:08:14+00:00,D,264,104,56,Friday,2019-11-15
2019-11-15 01:13:55+00:00,B,265,108,52,Friday,2019-11-15
2019-11-15 01:22:50+00:00,C,258,99,51,Friday,2019-11-15
2019-11-15 01:29:12+00:00,D,264,104,55,Friday,2019-11-15
2019-11-15 01:35:34+00:00,C,257,99,51,Friday,2019-11-15
2019-11-15 01:41:34+00:00,D,264,103,55,Friday,2019-11-15
2019-11-15 01:56:07+00:00,C,257,98,51,Friday,2019-11-15
2019-11-15 05:08:12+00:00,D,264,102,55,Friday,2019-11-15
2019-11-15 05:08:38+00:00,B,264,108,52,Friday,2019-11-15
2019-11-15 05:10:19+00:00,A,256,100,54,Friday,2019-11-15
2019-11-15 05:12:50+00:00,C,257,97,51,Friday,2019-11-15
2019-11-15 05:15:09+00:00,D,264,101,55,Friday,2019-11-15
2019-11-15 05:17:20+00:00,C,256,97,51,Friday,2019-11-15
2019-11-15 05:17:42+00:00,D,263,101,55,Friday,2019-11-15
2019-11-15 05:19:07+00:00,B,263,108,52,Friday,2019-11-15
2019-11-15 05:20:39+00:00,A,255,100,54,Friday,2019-11-15
2019-11-15 05:21:49+00:00,A,254,100,54,Friday,2019-11-15
2019-11-15 05:23:19+00:00,B,262,108,52,Friday,2019-11-15
2019-11-15 05:23:30+00:00,C,256,96,51,Friday,2019-11-15
2019-11-15 05:26:51+00:00,C,256,95,51,Friday,2019-11-15
2019-11-15 05:27:20+00:00,C,255,95,51,Friday,2019-11-15
2019-11-15 05:27:41+00:00,D,262,101,55,Friday,2019-11-15
2019-11-15 05:30:02+00:00,C,254,95,51,Friday,2019-11-15
2019-11-15 05:39:28+00:00,D,261,101,55,Friday,2019-11-15
2019-11-15 05:40:53+00:00,B,261,108,52,Friday,2019-11-15
2019-11-15 05:43:33+00:00,A,253,100,54,Friday,2019-11-15
2019-11-15 05:47:25+00:00,A,252,100,54,Friday,2019-11-15
2019-11-15 05:51:53+00:00,B,260,108,52,Friday,2019-11-15
2019-11-15 05:52:12+00:00,A,251,100,54,Friday,2019-11-15
2019-11-15 05:53:50+00:00,D,260,101,55,Friday,2019-11-15
2019-11-15 05:55:34+00:00,A,250,100,54,Friday,2019-11-15
2019-11-15 05:56:07+00:00,B,259,108,52,Friday,2019-11-15
2019-11-15 06:05:38+00:00,D,259,101,55,Friday,2019-11-15
2019-11-15 06:06:36+00:00,A,249,100,54,Friday,2019-11-15
2019-11-15 06:09:56+00:00,C,253,95,51,Friday,2019-11-15
2019-11-15 06:10:00+00:00,D,258,101,55,Friday,2019-11-15
2019-11-15 06:12:24+00:00,D,257,101,55,Friday,2019-11-15
2019-11-15 06:12:42+00:00,A,248,100,54,Friday,2019-11-15
2019-11-15 06:15:53+00:00,C,252,95,51,Friday,2019-11-15
2019-11-15 06:23:01+00:00,C,252,94,51,Friday,2019-11-15
2019-11-15 06:23:11+00:00,C,251,94,51,Friday,2019-11-15
2019-11-15 06:24:54+00:00,D,257,100,55,Friday,2019-11-15
2019-11-15 06:25:24+00:00,D,256,100,55,Friday,2019-11-15
2019-11-15 06:27:43+00:00,D,255,100,55,Friday,2019-11-15
2019-11-15 06:33:53+00:00,A,247,100,54,Friday,2019-11-15
2019-11-15 06:34:08+00:00,B,258,108,52,Friday,2019-11-15
2019-11-15 06:35:04+00:00,D,254,100,55,Friday,2019-11-15
2019-11-15 06:38:28+00:00,A,246,100,54,Friday,2019-11-15
2019-11-15 06:41:34+00:00,B,257,108,52,Friday,2019-11-15
2019-11-15 06:43:06+00:00,C,250,94,51,Friday,2019-11-15
2019-11-15 06:43:48+00:00,A,246,99,54,Friday,2019-11-15
2019-11-15 06:45:12+00:00,C,249,94,51,Friday,2019-11-15
2019-11-15 06:45:26+00:00,B,256,108,52,Friday,2019-11-15
2019-11-15 06:48:01+00:00,D,254,99,55,Friday,2019-11-15
2019-11-15 06:48:35+00:00,A,245,99,54,Friday,2019-11-15
2019-11-15 06:49:51+00:00,C,248,94,51,Friday,2019-11-15
2019-11-15 06:51:45+00:00,B,255,108,52,Friday,2019-11-15
2019-11-15 06:57:25+00:00,D,253,99,55,Friday,2019-11-15
2019-11-15 06:58:02+00:00,A,244,99,54,Friday,2019-11-15
2019-11-15 06:58:05+00:00,C,248,93,51,Friday,2019-11-15
2019-11-15 07:04:12+00:00,B,255,107,52,Friday,2019-11-15
2019-11-15 07:04:18+00:00,B,254,107,52,Friday,2019-11-15
2019-11-15 07:04:54+00:00,C,247,93,51,Friday,2019-11-15
2019-11-15 07:08:32+00:00,D,252,99,55,Friday,2019-11-15
2019-11-15 07:09:25+00:00,D,251,99,55,Friday,2019-11-15
2019-11-15 07:10:33+00:00,C,247,92,51,Friday,2019-11-15
2019-11-15 07:10:52+00:00,D,250,99,55,Friday,2019-11-15
2019-11-15 07:11:04+00:00,A,243,99,54,Friday,2019-11-15
2019-11-15 07:11:08+00:00,D,249,99,55,Friday,2019-11-15
2019-11-15 07:11:08+00:00,A,242,99,54,Friday,2019-11-15
2019-11-15 07:12:09+00:00,A,242,98,54,Friday,2019-11-15
2019-11-15 07:14:17+00:00,A,241,98,54,Friday,2019-11-15
2019-11-15 07:16:13+00:00,A,240,98,54,Friday,2019-11-15
2019-11-15 07:18:51+00:00,D,248,99,55,Friday,2019-11-15
2019-11-15 07:20:05+00:00,C,247,91,51,Friday,2019-11-15
2019-11-15 07:22:45+00:00,D,247,99,55,Friday,2019-11-15
2019-11-15 07:26:22+00:00,A,239,98,54,Friday,2019-11-15
2019-11-15 07:26:59+00:00,B,253,107,52,Friday,2019-11-15
2019-11-15 07:28:42+00:00,D,246,99,55,Friday,2019-11-15
2019-11-15 07:29:26+00:00,D,246,98,55,Friday,2019-11-15
2019-11-15 07:29:58+00:00,C,246,91,51,Friday,2019-11-15
2019-11-15 07:30:40+00:00,C,245,91,51,Friday,2019-11-15
2019-11-15 07:32:35+00:00,D,245,98,55,Friday,2019-11-15
2019-11-15 07:33:01+00:00,D,244,98,55,Friday,2019-11-15
2019-11-15 07:33:27+00:00,C,244,91,51,Friday,2019-11-15
2019-11-15 07:42:03+00:00,C,244,90,51,Friday,2019-11-15
2019-11-15 07:44:21+00:00,C,243,90,51,Friday,2019-11-15
2019-11-15 07:44:37+00:00,C,242,90,51,Friday,2019-11-15
2019-11-15 07:46:58+00:00,C,241,90,51,Friday,2019-11-15
2019-11-15 07:47:17+00:00,B,252,107,52,Friday,2019-11-15
2019-11-15 07:47:41+00:00,C,240,90,51,Friday,2019-11-15
2019-11-15 07:55:19+00:00,B,251,107,52,Friday,2019-11-15
2019-11-15 07:55:58+00:00,B,251,106,52,Friday,2019-11-15
2019-11-15 08:00:19+00:00,C,239,90,51,Friday,2019-11-15
2019-11-15 08:01:13+00:00,D,243,98,55,Friday,2019-11-15
2019-11-15 08:02:55+00:00,D,243,97,55,Friday,2019-11-15
2019-11-15 08:04:41+00:00,D,242,97,55,Friday,2019-11-15
2019-11-15 08:06:43+00:00,D,241,97,55,Friday,2019-11-15
2019-11-15 08:07:05+00:00,A,238,98,54,Friday,2019-11-15
2019-11-15 08:07:19+00:00,B,251,105,52,Friday,2019-11-15
2019-11-15 08:07:29+00:00,B,250,105,52,Friday,2019-11-15
2019-11-15 08:07:57+00:00,A,237,98,54,Friday,2019-11-15
2019-11-15 08:09:20+00:00,A,236,98,54,Friday,2019-11-15
2019-11-15 08:09:50+00:00,D,240,97,55,Friday,2019-11-15
2019-11-15 08:11:00+00:00,B,249,105,52,Friday,2019-11-15
2019-11-15 08:17:27+00:00,A,235,98,54,Friday,2019-11-15
2019-11-15 08:18:15+00:00,C,238,90,51,Friday,2019-11-15
2019-11-15 08:21:19+00:00,A,234,98,54,Friday,2019-11-15
2019-11-15 08:22:06+00:00,D,239,97,55,Friday,2019-11-15
2019-11-15 08:22:06+00:00,A,234,97,54,Friday,2019-11-15
2019-11-15 08:22:32+00:00,C,237,90,51,Friday,2019-11-15
2019-11-15 08:25:21+00:00,D,238,97,55,Friday,2019-11-15
2019-11-15 08:27:29+00:00,C,236,90,51,Friday,2019-11-15
2019-11-15 08:29:14+00:00,A,233,97,54,Friday,2019-11-15
2019-11-15 08:29:37+00:00,C,235,90,51,Friday,2019-11-15
2019-11-15 08:30:35+00:00,B,248,105,52,Friday,2019-11-15
2019-11-15 08:33:45+00:00,C,234,90,51,Friday,2019-11-15
2019-11-15 08:34:07+00:00,C,233,90,51,Friday,2019-11-15
2019-11-15 08:34:10+00:00,D,237,97,55,Friday,2019-11-15
2019-11-15 08:35:29+00:00,D,236,97,55,Friday,2019-11-15
2019-11-15 08:37:03+00:00,C,232,90,51,Friday,2019-11-15
2019-11-15 08:39:04+00:00,A,233,96,54,Friday,2019-11-15
2019-11-15 08:39:21+00:00,D,235,97,55,Friday,2019-11-15
2019-11-15 08:41:03+00:00,B,247,105,52,Friday,2019-11-15
2019-11-15 08:41:16+00:00,D,234,97,55,Friday,2019-11-15
2019-11-15 08:42:47+00:00,C,231,90,51,Friday,2019-11-15
2019-11-15 08:43:10+00:00,D,233,97,55,Friday,2019-11-15
2019-11-15 08:46:30+00:00,D,233,96,55,Friday,2019-11-15
2019-11-15 08:47:18+00:00,C,230,90,51,Friday,2019-11-15
2019-11-15 08:47:45+00:00,D,232,96,55,Friday,2019-11-15
2019-11-15 08:48:13+00:00,D,231,96,55,Friday,2019-11-15
2019-11-15 08:48:13+00:00,A,232,96,54,Friday,2019-11-15
2019-11-15 08:48:30+00:00,D,230,96,55,Friday,2019-11-15
2019-11-15 08:53:07+00:00,B,246,105,52,Friday,2019-11-15
2019-11-15 08:53:51+00:00,A,232,95,54,Friday,2019-11-15
2019-11-15 08:54:38+00:00,A,231,95,54,Friday,2019-11-15
2019-11-15 09:00:06+00:00,D,230,95,55,Friday,2019-11-15
2019-11-15 09:01:59+00:00,A,230,95,54,Friday,2019-11-15
2019-11-15 09:02:25+00:00,C,229,90,51,Friday,2019-11-15
2019-11-15 09:04:06+00:00,A,229,95,54,Friday,2019-11-15
2019-11-15 09:05:54+00:00,B,245,105,52,Friday,2019-11-15
2019-11-15 09:07:29+00:00,B,244,105,52,Friday,2019-11-15
2019-11-15 09:09:34+00:00,B,243,105,52,Friday,2019-11-15
2019-11-15 09:11:03+00:00,C,228,90,51,Friday,2019-11-15
2019-11-15 09:12:55+00:00,B,242,105,52,Friday,2019-11-15
2019-11-15 09:13:35+00:00,A,229,94,54,Friday,2019-11-15
2019-11-15 09:13:39+00:00,D,229,95,55,Friday,2019-11-15
2019-11-15 09:13:47+00:00,D,229,94,55,Friday,2019-11-15
2019-11-15 09:14:53+00:00,A,229,93,54,Friday,2019-11-15
2019-11-15 09:14:57+00:00,C,227,90,51,Friday,2019-11-15
2019-11-15 09:16:32+00:00,A,228,93,54,Friday,2019-11-15
2019-11-15 09:16:33+00:00,D,228,94,55,Friday,2019-11-15
2019-11-15 09:17:16+00:00,C,227,89,51,Friday,2019-11-15
2019-11-15 09:19:00+00:00,D,227,94,55,Friday,2019-11-15
2019-11-15 09:19:52+00:00,D,226,94,55,Friday,2019-11-15
2019-11-15 09:22:18+00:00,A,227,93,54,Friday,2019-11-15
2019-11-15 09:22:20+00:00,A,226,93,54,Friday,2019-11-15
2019-11-15 09:22:23+00:00,D,225,94,55,Friday,2019-11-15
2019-11-15 09:23:22+00:00,C,226,89,51,Friday,2019-11-15
2019-11-15 09:23:25+00:00,A,225,93,54,Friday,2019-11-15
2019-11-15 09:24:11+00:00,C,226,88,51,Friday,2019-11-15
2019-11-15 09:24:15+00:00,A,224,93,54,Friday,2019-11-15
2019-11-15 09:25:13+00:00,B,241,105,52,Friday,2019-11-15
2019-11-15 09:28:01+00:00,C,225,88,51,Friday,2019-11-15
2019-11-15 09:29:57+00:00,C,225,87,51,Friday,2019-11-15
2019-11-15 09:32:01+00:00,B,241,104,52,Friday,2019-11-15
2019-11-15 09:33:03+00:00,C,224,87,51,Friday,2019-11-15
2019-11-15 09:35:02+00:00,B,240,104,52,Friday,2019-11-15
2019-11-15 09:38:46+00:00,C,223,87,51,Friday,2019-11-15
2019-11-15 09:39:52+00:00,C,223,86,51,Friday,2019-11-15
2019-11-15 09:40:05+00:00,B,239,104,52,Friday,2019-11-15
2019-11-15 09:40:36+00:00,C,222,86,51,Friday,2019-11-15
2019-11-15 09:44:08+00:00,A,223,93,54,Friday,2019-11-15
2019-11-15 09:45:38+00:00,A,222,93,54,Friday,2019-11-15
2019-11-15 09:47:44+00:00,A,221,93,54,Friday,2019-11-15
2019-11-15 09:47:54+00:00,B,238,104,52,Friday,2019-11-15
2019-11-15 09:48:35+00:00,C,221,86,51,Friday,2019-11-15
2019-11-15 09:48:51+00:00,A,221,92,54,Friday,2019-11-15
2019-11-15 09:49:17+00:00,A,220,92,54,Friday,2019-11-15
2019-11-15 09:49:47+00:00,C,220,86,51,Friday,2019-11-15
2019-11-15 09:49:51+00:00,C,219,86,51,Friday,2019-11-15
2019-11-15 09:50:06+00:00,D,224,94,55,Friday,2019-11-15
2019-11-15 09:50:29+00:00,D,224,93,55,Friday,2019-11-15
2019-11-15 09:51:54+00:00,B,237,104,52,Friday,2019-11-15
2019-11-15 09:55:06+00:00,C,218,86,51,Friday,2019-11-15
2019-11-15 09:55:29+00:00,A,219,92,54,Friday,2019-11-15
2019-11-15 09:56:57+00:00,C,217,86,51,Friday,2019-11-15
2019-11-15 09:57:02+00:00,D,223,93,55,Friday,2019-11-15
2019-11-15 09:57:53+00:00,C,216,86,51,Friday,2019-11-15
2019-11-15 09:59:29+00:00,A,218,92,54,Friday,2019-11-15
2019-11-15 10:01:16+00:00,C,216,85,51,Friday,2019-11-15
2019-11-15 10:03:07+00:00,D,222,93,55,Friday,2019-11-15
2019-11-15 10:03:43+00:00,D,221,93,55,Friday,2019-11-15
2019-11-15 10:04:06+00:00,D,220,93,55,Friday,2019-11-15
2019-11-15 10:04:26+00:00,B,237,103,52,Friday,2019-11-15
2019-11-15 10:04:36+00:00,C,215,85,51,Friday,2019-11-15
2019-11-15 10:06:46+00:00,B,236,103,52,Friday,2019-11-15
2019-11-15 10:07:38+00:00,B,235,103,52,Friday,2019-11-15
2019-11-15 10:12:42+00:00,C,214,85,51,Friday,2019-11-15
2019-11-15 10:12:59+00:00,B,234,103,52,Friday,2019-11-15
2019-11-15 10:13:52+00:00,B,233,103,52,Friday,2019-11-15
2019-11-15 10:13:55+00:00,B,232,103,52,Friday,2019-11-15
2019-11-15 10:15:18+00:00,B,231,103,52,Friday,2019-11-15
2019-11-15 10:22:50+00:00,B,231,102,52,Friday,2019-11-15
2019-11-15 10:28:02+00:00,B,230,102,52,Friday,2019-11-15
2019-11-15 10:29:27+00:00,A,217,92,54,Friday,2019-11-15
2019-11-15 10:33:10+00:00,C,213,85,51,Friday,2019-11-15
2019-11-15 10:33:24+00:00,A,216,92,54,Friday,2019-11-15
2019-11-15 10:33:54+00:00,D,219,93,55,Friday,2019-11-15
2019-11-15 10:34:25+00:00,B,229,102,52,Friday,2019-11-15
